HPC_index,Framework,metal_smiles,organ_smiles,topo,LCD,PLD,VF,GSA,VSA,C2H4_10kPa,C2H6_10kPa,C2H4_100kPa,C2H6_100kPa,WC_C2H4,WC_C2H6,S1
7558,hMOF-6002528,[V],"['O=C([O-])C#CC12C(Br)[CH]C(C#CC(=O)[O-])([C](Br)C1Br)C(Br)(Br)C2Br', 'O=C([O-])C#CC12[CH]CC(C#CC(=O)[O-])(C(Br)[CH]1)C(Br)(Br)C2Br']",rna,7.76503,7.29731,0.591389,923.275771,1563.429846,5.133745493,0.214238994,40.18039756,3.725454674,35.04665207,3.51121568,1.3907732
7559,hMOF-6002529,[V],"['NC1CC2(C#CC(=O)[O-])C(N)(N)CC1(C#CC(=O)[O-])C(N)C2(N)N', 'NC(C=CC(=O)[O-])=C(N)C(=O)[O-]']",rna,5.61013,4.77287,0.422424,1075.880381,1044.383041,4.993965827,0.175419377,41.57922049,3.70282654,36.58525466,3.527407163,1.335821053
7560,hMOF-6002530,[V],"['NC(=CC(N)=C(N)C(=O)[O-])C(=O)[O-]', 'NC1C(N)C2(C#CC(=O)[O-])C(N)(N)CC1(C#CC(=O)[O-])C(N)C2(N)N']",rna,5.98397,4.8471,0.527542,1620.936313,1570.810255,13.61814674,0.997192724,79.11958882,8.550789619,65.50144208,7.553596895,1.621113636
7561,hMOF-6002531,[V],"['[CH]=CC=C[CH]C1C(c2[c]cccc2)C2(C#CC(=O)[O-])CC(c3ccccc3)C1(C#CC(=O)[O-])CC2c1ccccc1', 'O=C([O-])C=CC=CC(=O)[O-]']",rna,4.94342,3.66338,0.212981,201.370942,240.171814,6.221082732,0.276506442,20.73883464,1.578431149,14.51775191,1.301924707,1.141648875
7562,hMOF-6002532,[V],"['O=C([O-])C=CC(O)=C(O)C(=O)[O-]', 'O=C([O-])C#CC12C(O)C(O)C(C#CC(=O)[O-])(C(O)C1O)C(O)(O)C2(O)O']",rna,5.30604,4.73707,0.46115,1419.489592,1464.01237,6.252379806,0.240635034,52.15246252,4.808500752,45.90008271,4.567865718,1.383012571
7563,hMOF-6002533,[V],"['N#CC1C2[C]3[N]N3[C]C3(C#N)C(C#N)(C#N)C1(C#CC(=O)[O-])C(C#N)C(C#N)(C#N)C23C#CC(=O)[O-]', 'O=C([O-])C=CC=CC(=O)[O-]']",rna,4.35542,3.44413,0.342219,487.325699,550.817478,1.462054023,0.020605582,20.96580317,0.888615741,19.50374915,0.868010159,0.635760815
7564,hMOF-6002534,[V],"['COC(=CC(=O)[O-])C(=CC(=O)[O-])OC', '[CH2]OC1[C](C#CC(=O)[O-])C(OC)C(O)(O[CH2])[C](C#CC(=O)[O-])C1O[CH2]']",rna,4.5987,3.30656,0.273221,83.720446,98.082,1.213819292,0.016393359,13.32609554,0.487252336,12.11227625,0.470858977,0.548456599
7565,hMOF-6002535,[V],"['O=C1[CH]C2=CC(C(=O)[O-])=NNN2NO1', 'N=NC1C2(C#CC(=O)[O-])CC(N=N)C3(C#CC(=O)[O-])C([N]NN[N]C13N=N)C2(N=N)N=N']",rna,6.10174,4.24962,0.504978,1212.775088,1354.521766,13.82216593,0.943748471,75.31093403,7.95745628,61.4887681,7.013707809,1.584920513
7566,hMOF-6002536,[V],"['N=NC1CC2(C#CC(=O)[O-])C(N=N)CC1(C#CC(=O)[O-])C(N=N)C2N=N', 'N=NC(=CC(N=N)=C(N=N)C(=O)[O-])C(=O)[O-]']",rna,5.95844,4.62123,0.51383,1399.251359,1449.19891,11.20443682,0.674243048,61.51902345,6.684903437,50.31458663,6.010660389,1.629960067
7567,hMOF-6002537,[V],"['N=NC1C2(C#CC(=O)[O-])CCC(C#CC(=O)[O-])(C(N=N)(N=N)C2)C1(N=N)N=N', 'N=NC1=C(C=CC(=O)[O-])[N]NOC1=O']",rna,6.51647,5.18301,0.529669,1537.323104,1592.199251,12.3001308,0.808712502,64.74315251,6.983717183,52.44302171,6.175004681,1.618020651
7568,hMOF-6002538,[V],"['N=NC1CC2(C#CC(=O)[O-])C(N=N)C(N=N)C1(C#CC(=O)[O-])CC2(N=N)N=N', '[NH]N=C1C(=O)ONN2NN=C(C(=O)[O-])C=C12']",rna,6.24904,5.03746,0.548289,1445.178103,1555.464124,20.34532485,1.855876892,80.69960134,9.293663823,60.35427649,7.437786931,1.727455341
7569,hMOF-6002544,[V],"['O=C([O-])C#CC12CC(Cl)C(C#CC(=O)[O-])(C(Cl)C1)C(Cl)C2Cl', 'O=C([O-])C(=O)[O-]']",rna,3.74816,3.33663,0.349993,160.992601,241.024219,4.480434449,0.073253528,34.25741377,1.64878429,29.77697932,1.575530762,0.721939038
7570,hMOF-6002545,[V],"['O=C([O-])C#CC12CC(Cl)C(C#CC(=O)[O-])(CC1Cl)C(Cl)C2Cl', 'O=C([O-])C#CC12CCC(C#CC(=O)[O-])(C(Cl)C1)C(Cl)(Cl)C2']",rna,8.85056,7.79142,0.62586,2169.589348,1836.949032,3.184593966,0.074952618,37.55848101,2.834328378,34.37388704,2.75937576,1.131966057
7571,hMOF-6002550,[V],"['O=C([O-])C#CC12CC(Br)(Br)C(C#CC(=O)[O-])(CC1(Br)Br)C(Br)(Br)C2', 'O=C([O-])C(=O)[O-]']",rna,3.73098,3.03769,0.318399,60.652,141.261475,0.444632954,0.001998015,7.05797409,0.14170998,6.613341136,0.139711965,0.301169949
7572,hMOF-6002551,[V],"['O=C([O-])C#CC12CC(Br)C(C#CC(=O)[O-])(CC1Br)C(Br)C2Br', 'O=C([O-])C(=O)[O-]']",rna,4.04147,2.8655,0.316873,118.745362,230.115109,8.584267138,0.133434204,38.38174135,1.781273153,29.79747421,1.647838949,0.69614083
7574,hMOF-6002557,[V],"['O=C([O-])C(=O)[O-]', 'NC1C(N)(N)C2(C#CC(=O)[O-])C(N)CC1(C#CC(=O)[O-])C(N)(N)C2N']",rna,3.76095,2.96964,0.291708,92.053409,130.357845,1.529799854,0.010397793,19.12262079,0.600227329,17.59282094,0.589829536,0.470825105
7575,hMOF-6002558,[V],"['NC1C(N)C2(C#CC(=O)[O-])C(N)C(N)C1(C#CC(=O)[O-])C(N)C2(N)N', 'O=C([O-])C(=O)[O-]']",rna,3.78665,2.91855,0.286377,92.267627,130.664802,1.948703401,0.015890967,20.68562491,0.611900323,18.73692151,0.596009356,0.443714168
7576,hMOF-6002559,[V],"['NC1C2(C#CC(=O)[O-])CCC(C#CC(=O)[O-])(C(N)C2)C1(N)N', 'O=C([O-])C(=O)[O-]']",rna,4.01533,3.46791,0.319461,223.765882,291.898961,3.08179981,0.034023326,25.90543456,1.255402141,22.82363475,1.221378815,0.72691435
7577,hMOF-6002565,[V],"['O=C([O-])c1ccc2cc(C(=O)[O-])ccc2c1', '[CH]=C([CH]C1C2[CH]C(C(=O)[O-])=CC3[CH]C1C32)C(=O)[O-]']",rna,8.34675,5.94497,0.609005,1882.314253,1645.508905,8.95138862,0.403139051,88.42399268,9.793564329,79.47260406,9.390425278,1.661352993
7578,hMOF-6002566,[V],"['O=C([O-])C#CC12CCC(C#CC(=O)[O-])(C(F)C1)C(F)C2F', 'O=C([O-])c1cc2[c]c(F)c(C(=O)[O-])c(F)c2[c]c1F']",rna,7.35653,6.09584,0.645809,2322.448867,2043.870958,6.396293481,0.1905586,69.02453791,6.434522228,62.62824443,6.243963628,1.39831191
7579,hMOF-6002567,[V],"['O=C([O-])c1c[c]c2c(F)c(C(=O)[O-])c[c]c2c1', 'O=C([O-])C#CC12CCC(C#CC(=O)[O-])(C(F)(F)C1)C(F)(F)C2(F)F']",rna,7.51252,6.14353,0.634399,2203.232385,1987.52192,4.419503193,0.121207394,54.60707054,4.671717322,50.18756735,4.550509928,1.283272645
